"53";"Jeg sa jeg var redd.";"R";;"Eg sagde eg var redd.";"2";"5"
"54";"De spurte meg hvorfor jeg aldri elsket.";"H";"55";"Dei spurde meg kvifor eg aldri elska.";"3";"5"
"55";"Jeg sa jeg var redd.";"R";;"Eg sagde eg var redd.";"4";"5"
"56";"De spurte meg hvorfor jeg aldri gråt.";"H";"57,58";"Dei spurde meg kvifor eg aldri gret.";"5";"5"
"57";"Jeg sa jeg var redd.";"R";;"Eg sagde eg var redd.";"6";"5"
"58";"&#8230; <em>Jeg sa jeg var redd</em> &#8230;";"H";"H,59";"&#8230; <em>Eg sagde eg var redd</em> &#8230;";"7";"5"
"59";"&#8230; <em>Men ingen spurte hvorfor</em> &#8230;";"M";;"&#8230; <em>Men ingen spurde kvifor</em> &#8230;";"8";"5"
"60";"Pray that your loneliness will spur you into finding something to live for &#8230;";"H";"H,61";;"1";"6"
"61";"&#8230; great enough to die for &#8230;";"R";;;"2";"6"
"62";"Blant seks milliarder andre kort,";"H";"63,70";"Blant seks milliardar andre kort,";"1";"7"
"63";"Er Joker den eneste av sitt slag.";"R";;"Er Joker den einaste av slaget sitt.";"2";"7"
"64";"Joker kan være alle kort,";"H";"M";"Joker kan vera alle kort,";"3";"7"
"65";"men ingen andre kort kan være Joker.";"M";;"men ingen andre kort kan vera Joker.";"4";"7"
"66";"Joker har makt til alt.";"H";;"Joker har makt til alt.";"5";"7"
"67";"Han er det han ser.";"R";"59,68";"Han er det han ser.";"6";"7"
"68";"Og han ser det han er.";"R";;"Og han ser det han er.";"7";"7"
"69";"Blant seks milliarder andre kort,";"H";"63,70";"Blant seks milliardar andre kort,";"8";"7"
"70";"Er Joker den eneste av sitt slag &#8230;";"R";;"Er Joker den einaste av slaget sitt &#8230;";"9";"7"
"71";"&#8230; og han føler seg <em>alene</em> &#8230;";"R";;"&#8230; og han føler seg <em>åleine</em> &#8230;";"10";"7"
"72";"Der sitter hun.";"H";"73,74,76,77,78,79,80,83,84,86,87,89,90,91,92,93,127";"Der sit ho.";"1";"8"
"73";"Ser mot havet.";"R";"40,74,80,81,82,127";"Ser mot havet.";"2";"8"
"74";"Hva hun tenker vet ingen &#8230;";"H";"75,76,77,78,79,80,83,84,85,86";"Kva ho tenkjer veit ingen &#8230;";"3";"8"
"75";"Ingen andre enn henne selv.";"R";"76,77,78,79,80,83,84,85,86";"Ingen andre enn ho sjølv.";"4";"8"
"76";"Vet hun at jeg ser på henne?";"R";"77,78,79,80,83,84,85,86";"Veit ho at eg ser på ho?";"5";"8"
"77";"Vet hun at jeg tenker på henne?";"R";"78,79,80,83,84,85,86";"Veit ho at eg tenkjer på ho?";"6";"8"
"78";"Vet hun at jeg er meg?";"R";"79,80,83,84,85,86";"Veit ho at eg er meg?";"7";"8"
"79";"Vet hun at jeg eksisterer?";"R";"80,83,84,85,86";"Veit ho at eg eksisterer?";"8";"8"
"80";"Hun snur seg.";"H";"72,83";"Ho snur seg.";"9";"8"
"81";"Ser på meg.";"R";"39,82";"Ser på meg.";"10";"8"
"82";"Og jeg på henne.";"R";;"Og eg på ho.";"11";"8"
"83";"Hun sier «Redd meg &#8230;»";"R";"84,85,86,87,88";"Ho seier «Redd meg &#8230;»";"12";"8"
"84";"Jeg sier «Jeg er redd &#8230;»";"H";"48,51,85";"Eg seier «Eg er redd &#8230;»";"13";"8"
"85";"Så går jeg.";"R";"1,3,4,5,12,34,86,88,89,90,91,92,93,122,131";"Så går eg.";"14";"8"
"86";"Hun hører mine steg.";"R";"87,88,89,90,92,93,122";"Ho høyrer stega mine.";"15";"8"
"87";"Det gjør jeg òg, i grunn.";"R";"88,89,90,92,93";"Det gjer eg òg, i grunnen.";"16";"8"
"88";"Jeg hopper ut.";"R";"89,90,92,93";"Eg hoppar ut.";"17";"8"
"89";"Hun blir der.";"R";"90,91,92,93,127";"Ho vert der.";"18";"8"
"90";"Hun blir der &#8230;";"R";"H,91,92,93";"Ho vert der &#8230;";"19";"8"
"91";"Med andre.";"R";"H,92,93,129";"Med andre.";"20";"8"
"92";"Aldri min.";"R";"H,93,131";"Aldri mi.";"21";"8"
"93";"Aldri min &#8230;";"R";;"Aldri mi &#8230;";"22";"8"
"94";"Jeg har sett mennesker &#8230; som ikke hadde klær på seg.";"H";;"Eg har sett menneske &#8230; som ikkje hadde klede på seg.";"1";"9"
"95";"Jeg har sett klær &#8230; som ikke hadde mennesker i seg.";"H";;"Eg har sett klede &#8230; som ikkje hadde menneske i seg.";"2";"9"
